address,area,baths,beds,building type,latitude,longitude,neighborhood,price
278-286 North 6th Street #286/2A,1787.0,3.0,3.0,Condo,40.71440125,-73.95469666,Williamsburg,2795000.0
160 Imlay Street #3A5,1245.0,2.0,1.0,Condo,40.68050003,-74.01029968,Red Hook,1325000.0
160 Imlay Street #4D3,2752.0,3.5,3.0,Condo,40.68050003,-74.01029968,Red Hook,3235000.0
160 Imlay Street #4D1,1492.0,2.0,2.0,Condo,40.68050003,-74.01029968,Red Hook,1795000.0
385 East 16th Street #6B,700.0,1.0,1.0,Co-op,40.641122,-73.963163,Ditmas Park,499000.0
1889 Albany Avenue,1345.0,1.0,3.0,House,40.62697,-73.93613,Northeast Flatbush,599000.0
560 East 28th Street,1600.0,1.0,2.0,House,40.63715,-73.95031,Flatbush,599000.0
596 2nd Street,4492.0,3.0,6.0,Multi-family,40.66949844,-73.97519684,Park Slope,3999999.0
82 East 5th Street #BA,1572.0,2.0,2.0,Condo,40.65119934,-73.97720337,Windsor Terrace,985500.0
65 Monroe Street,1575.0,2.5,5.0,Townhouse,40.68500137,-73.95629883,Bedford-Stuyvesant,2200000.0
105 Eighth Avenue #6,1358.0,2.0,3.0,Condo,40.67250061,-73.97329712,Park Slope,2150000.0
1976 Ocean Avenue #2,2000.0,2.0,3.0,Condo,40.61380005,-73.95459747,Midwood,899000.0
136 North 8th Street #1,1887.0,2.5,2.0,Condo,40.71879959,-73.95819855,Williamsburg,1750000.0
35 McDonald Avenue #PH5A,1796.0,2.0,2.0,Condo,40.65420151,-73.98120117,Windsor Terrace,1490000.0
917 Cleveland Street,850.0,1.0,3.0,House,40.662336,-73.8791,New Lots,615000.0
3121 Farragut Rd,2542.0,3.5,8.0,Multi-family,40.63661,-73.9463,Flatbush,1049000.0
49 East 54th Street,2050.0,2.0,3.0,Multi-family,40.657983,-73.926856,Northeast Flatbush,650000.0
2475 Ocean Avenue #6,1540.0,2.0,3.0,Condo,40.6012001,-73.95140076,Madison,758000.0
1213 Avenue Z #C29,1332.0,2.0,3.0,Condo,40.58840179,-73.95749664,Sheepshead Bay,475000.0
352 21st Street #1B,889.0,1.0,2.0,Condo,40.65890121,-73.98970032,Greenwood,859000.0
342 50th Street,2520.0,3.0,6.0,Townhouse,40.64699936,-74.01370239,Sunset Park,1280000.0
321 Pacific Street,5042.0,7.0,4.0,Townhouse,40.6875,-73.9878006,Boerum Hill,5999000.0
50 Greenpoint Avenue #6J,711.0,1.0,1.0,Condo,40.72940063,-73.95899963,Greenpoint,925000.0
9312 Foster Avenue,2400.0,2.0,2.0,House,40.64630127,-73.90840149,Canarsie,469000.0
229A Vernon Avenue,2139.0,2.0,3.0,Townhouse,40.69549942,-73.94249725,Stuyvesant Heights,999000.0
9225 Farragut Road,1060.0,2.5,3.0,Townhouse,40.64450073,-73.90750122,Canarsie,499000.0
59 Milford Street,1700.0,2.0,6.0,Townhouse,40.67819977,-73.87789917,East New York,779000.0
124 Blake Avenue #2,1920.0,5.0,4.0,Townhouse,40.66460037,-73.9151001,Brownsville,669000.0
388 Madison Street,2700.0,3.0,4.0,Townhouse,40.6853981,-73.94270325,Bedford-Stuyvesant,1499000.0
580 6th Avenue,3384.0,4.5,5.0,Multi-family,40.66329956,-73.98809814,Park Slope,2150000.0
580 6th Avenue,3384.0,4.5,5.0,Multi-family,40.66329956,-73.98809814,Park Slope,2150000.0
354A Gates Avenue,2996.0,4.0,6.0,Multi-family,40.68579865,-73.95230103,Bedford-Stuyvesant,1699000.0
2547 West 2nd Street #2FF,950.0,1.0,2.0,Co-op,40.58720016,-73.97100067,Gravesend,315000.0
108 Neptune Avenue #3I,934.0,2.0,2.0,Condo,40.582189,-73.957437,Brighton Beach,530000.0
829 Putnam Avenue,4075.0,4.0,10.0,Multi-family,40.6867981,-73.92829895,Stuyvesant Heights,2599000.0
30 Ocean Parkway #1G,1117.0,2.0,2.0,Co-op,40.6507988,-73.97440338,Windsor Terrace,750000.0
501 Surf Avenue #14A,620.0,1.0,1.0,Condo,40.57580185,-73.97450256,Coney Island,420000.0
3600 Fillmore Avenue,1064.0,2.5,3.0,House,40.61130142,-73.93280029,Marine Park,649000.0
288 Hawthorne Street,2882.0,2.5,8.0,Multi-family,40.65758,-73.95086,Prospect Lefferts Gardens,2800000.0
3804 12th Avenue,2850.0,4.0,6.0,House,40.64250183,-73.98819733,Borough Park,1449000.0
127 Lewis Avenue,3000.0,3.0,6.0,Multi-family,40.69250107,-73.9367981,Stuyvesant Heights,1429000.0
224-230 Clifton Place #2E,992.0,2.0,2.0,Condo,40.68849945,-73.95529938,Bedford-Stuyvesant,975000.0
173 Concord Street,3800.0,5.0,5.0,Townhouse,40.697712,-73.98428,Downtown Brooklyn,3799995.0
163 Ocean Avenue #M1,800.0,1.0,2.0,Co-op,40.65879822,-73.96209717,Prospect Lefferts Gardens,649000.0
1321 Bushwick Avenue,3000.0,3.0,6.0,Multi-family,40.68629837,-73.91200256,Bushwick,1275000.0
2348 East 21st Street,2112.0,2.5,5.0,House,40.59529877,-73.94979858,Homecrest,1088000.0
677 Greene Avenue,3250.0,4.5,7.0,Multi-family,40.689766,-73.941256,Stuyvesant Heights,1890000.0
2514 East 7th Street #5K,1100.0,1.0,2.0,Co-op,40.58850098,-73.96260071,Sheepshead Bay,310000.0
198 Freeman Street #2,1194.0,2.0,3.0,Condo,40.7344017,-73.95349884,Greenpoint,1235000.0
198 Freeman Street #3,1107.0,2.0,3.0,Condo,40.7344017,-73.95349884,Greenpoint,1245000.0
3703 Avenue S,1800.0,2.5,3.0,House,40.61040115,-73.93060303,Marine Park,699000.0
1122 Bedford Avenue #B,941.0,2.0,2.0,Condo,40.686171,-73.954733,Bedford-Stuyvesant,899000.0
345 Webster Avenue #4B,975.0,2.0,2.0,Other type,40.63399887,-73.96890259,Kensington,525000.0
3435 Guider Avenue #PH1,1500.0,2.0,3.0,Condo,40.58305,-73.957853,Brighton Beach,1100000.0
110 Warren Street B103B104,1293.0,2.0,2.0,Condo,40.68849945,-73.99980164,Columbia St Waterfront District,1595000.0
2284 78th Street,2680.0,2.5,8.0,House,40.60509872,-73.98719788,Gravesend,1790000.0
100 Jay Street #32B,791.0,1.0,1.0,Condo,40.702283,-73.986935,DUMBO,1195000.0
35 McDonald Avenue #PH5A,1796.0,2.0,2.0,Condo,40.65420151,-73.98120117,Windsor Terrace,1490000.0
308 Berriman Street,1800.0,3.0,6.0,Townhouse,40.67089844,-73.87940216,East New York,739000.0
1462 66th Street #6,3300.0,2.0,11.0,Building,40.6228981,-73.99859619,Bensonhurst,1899000.0
72 Dare Court,1120.0,1.5,2.0,House,40.58929825,-73.9233017,Gerritsen Beach,465000.0
2942 West 5th Street #J9,1100.0,1.5,2.0,Co-op,40.57740021,-73.97380066,Coney Island,389000.0
20 Noll Street,3039.0,3.0,5.0,Multi-family,40.70000076,-73.93530273,Bushwick,1300000.0
704 Putnam Avenue,3640.0,3.0,6.0,Building,40.68569946,-73.93360138,Stuyvesant Heights,1875000.0
3177 Avenue W,882.0,1.5,2.0,House,40.59719849,-73.93109894,Homecrest,429000.0
12 Nova Court,945.0,1.0,2.0,House,40.58679962,-73.92500305,Gerritsen Beach,419000.0
1876 58th Street,2915.0,4.0,6.0,House,40.62189865,-73.98439789,Mapleton,2199900.0
6 Banner 3rd Terrace,540.0,1.0,2.0,House,40.58119965,-73.96630096,Brighton Beach,449900.0
1137 85th Street,2117.0,3.5,4.0,House,40.6167984,-74.01660156,Dyker Heights,2500000.0
251 1st Street #PH10B,1707.0,3.0,4.0,Condo,40.67520142,-73.98429871,Park Slope,2900000.0
35 Underhill Avenue #A4A,1275.0,2.0,3.0,Condo,40.67990112,-73.96479797,Prospect Heights,1250000.0
2287 East 65th Street,5600.0,5.5,6.0,House,40.61380005,-73.90809631,Mill Basin,2200000.0
155 15th Street #4C,1113.0,2.5,2.0,Condo,40.66659927,-73.99099731,Park Slope,1289000.0
3903 Nostrand Avenue #L2,850.0,1.0,1.0,Co-op,40.58860016,-73.93930054,Sheepshead Bay,229000.0
1287 E 19th Street #5C,957.0,2.0,2.0,Condo,40.61909866,-73.95619965,Midwood,665115.0
51 Woodhull Street #B,1298.0,2.0,2.0,Condo,40.68159866,-74.00309753,Columbia St Waterfront District,1150000.0
1287 East 19th Street #5B,1063.0,2.0,2.0,Condo,40.61909866,-73.95619965,Midwood,738785.0
1287 East 19th Street #5A,706.0,1.0,1.0,Condo,40.61909866,-73.95619965,Midwood,490670.0
429 Kent Avenue #812,1340.0,2.5,2.0,Condo,40.70970154,-73.96779633,Williamsburg,1875000.0
371 Parkside Avenue,3345.0,2.5,6.0,Townhouse,40.65610123,-73.95749664,Prospect Lefferts Gardens,2100000.0
1287 East 19. Street #4C,957.0,2.0,2.0,Condo,40.61909866,-73.95619965,Midwood,660330.0
100 Jay Street #11M,789.0,1.0,1.0,Condo,40.702283,-73.986935,DUMBO,995000.0
1287 E. 19th Street #4B,1063.0,2.0,2.0,Condo,40.61909866,-73.95619965,Midwood,733470.0
