address,area,baths,beds,building type,latitude,longitude,neighborhood,price
27-28 Thomson Avenue #350,1901.0,2.5,2.0,Condo,40.74570084,-73.94180298,Hunters Point,2399000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
31-15 101st Street,2280.0,3.0,6.0,Multi-family,40.76070023,-73.86779785,East Elmhurst,525000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
31-15 101st Street,2280.0,3.0,6.0,Multi-family,40.76070023,-73.86779785,East Elmhurst,525000.0
30-30 73rd Street,2761.0,3.0,5.0,Multi-family,40.75939941,-73.89489746,Jackson Heights,1349000.0
31-15 101st Street,2280.0,3.0,6.0,Multi-family,40.76070023,-73.86779785,East Elmhurst,880000.0
64-43 215th Street,1800.0,1.5,3.0,House,40.74449921,-73.76100159,Bayside,899000.0
86-10 34th Avenue #113,1250.0,2.0,2.0,Co-op,40.75389862,-73.88079834,Jackson Heights,774000.0
4-74 48th Avenue #PH2E,1005.0,2.0,2.0,Condop,40.74420166,-73.95680237,Hunters Point,890000.0
48-41 186th Street,1211.0,1.0,4.0,House,40.74729919,-73.79160309,Auburndale,788000.0
57-45 74th Street #G2,700.0,1.0,1.0,Condo,40.72740173,-73.88680267,Middle Village,368000.0
21-10 44th Drive #4B,647.0,1.0,1.0,Condo,40.74779892,-73.9469986,Hunters Point,740000.0
10 Holder Place #3D,1525.0,2.0,3.0,Co-op,40.71829987,-73.84279633,Forest Hills,1490000.0
21-06 35th Street #3E,800.0,1.0,2.0,Other type,40.77600098,-73.90809631,Astoria,409000.0
88-28 74th Avenue,1600.0,1.0,3.0,House,40.70869827,-73.86209869,Glendale,849000.0
110-27 71st Avenue,5000.0,4.0,6.0,Townhouse,40.72280121,-73.84059906,Forest Hills,1988888.0
85-14 66th Road,1440.0,2.5,3.0,House,40.71780014,-73.86219788,Rego Park,849000.0
78-10 34th Avenue #1J,1000.0,2.0,2.0,Co-op,40.75310135,-73.88819885,Jackson Heights,525000.0
21-10 44th Drive #4B,647.0,1.0,1.0,Condo,40.74779892,-73.9469986,Hunters Point,740000.0
44-15 Purves Street #3C,696.0,1.0,1.0,Condo,40.74710083,-73.94100189,Hunters Point,898000.0
66-15 Thornton Place #5M,950.0,1.0,2.0,Co-op,40.72309875,-73.85749817,Rego Park,359999.0
85-15 Main Street #PHQ,950.0,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,259000.0
42-37 156th Street,2272.0,4.0,5.0,Multi-family,40.76010132,-73.80940247,Queensboro Hill,1390000.0
140-50 Burden Crescent #5H,900.0,1.0,1.5,Co-op,40.71060181,-73.81659698,Briarwood,239000.0
34-41 85th Street #6U,800.0,1.0,1.0,Co-op,40.75299835,-73.88179779,Jackson Heights,429000.0
86-10 34th Avenue #113,1250.0,2.0,2.0,Co-op,40.75389862,-73.88079834,Jackson Heights,774000.0
4-74 48th Avenue #12C,800.0,1.0,1.0,Condop,40.74420166,-73.95680237,Hunters Point,665000.0
104-22 90th Avenue,1617.0,3.0,4.0,Multi-family,40.69300079,-73.84149933,Woodhaven,675000.0
117-31 Inwood Street,1680.0,2.0,3.0,House,40.67910004,-73.7947998,South Jamaica,389000.0
63-61 99th Street #B12,850.0,1.0,1.0,Co-op,40.73139954,-73.85600281,Rego Park,335000.0
2-40 51st Avenue #TH1C,1186.0,1.5,1.0,Condo,40.74229813,-73.9571991,Hunters Point,1198000.0
81-14 Queens Boulevard #5A,1020.0,2.0,2.0,Condo,40.737222,-73.881749,Elmhurst,750000.0
242-31 Oak Park Dr #B,1137.0,2.0,2.0,Condo,40.7466011,-73.73110199,Little Neck,699000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
4-74 48th Avenue #27F,863.0,1.0,1.0,Condop,40.7445,-73.9565,Hunters Point,648000.0
61-15 98th Street #5,800.0,1.0,1.0,Co-op,40.73450089,-73.85949707,Rego Park,319000.0
94-30 60th Avenue #4,1260.0,1.5,3.0,Co-op,40.73429871,-73.86530304,Elmhurst,395000.0
214-26 24th Avenue,3000.0,2.0,5.0,House,40.77959824,-73.77469635,Bayside,1549000.0
30-54 89th Street,3908.0,2.5,3.0,House,40.76029968,-73.87979889,Jackson Heights,829000.0
118-11 84th Avenue #406,900.0,1.0,1.0,Co-op,40.70460129,-73.83339691,Kew Gardens,299000.0
45-02 Ditmars Boulevard #418,698.0,1.0,1.0,Condo,40.77000046,-73.9036026,Astoria,610000.0
81-14 Queens Boulevard #5A,1020.0,2.0,2.0,Condo,40.737222,-73.881749,Elmhurst,750000.0
110-45 Queens Boulevard #210,850.0,1.0,1.0,Co-op,40.71969986,-73.83879852,Forest Hills,359000.0
111-07 62 Dr,1850.0,3.0,4.0,Multi-family,40.73699951,-73.84690094,Forest Hills,1380000.0
