address,area,baths,beds,building type,latitude,longitude,neighborhood,price
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
15 Neptune Street,735.0,1.0,2.0,House,40.564998,-74.099525,New Dorp Beach,329900.0
86 Rolling Hill Green,18803.0,1.5,3.0,House,40.55110168,-74.19180298,Huguenot,437999.0
60 Crowell Avenue,5400.0,1.0,2.0,Multi-family,40.6156,-74.12535,Westerleigh,609000.0
62 Lincoln Street,1804.0,2.0,4.0,House,40.60359955,-74.11840057,Todt Hill,259900.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
66 Clawson Street,1281.0,2.0,3.0,House,40.57730103,-74.10559845,Grant City,850000.0
99 Sumner Place,1360.0,1.5,3.0,Townhouse,40.638921,-74.092416,New Brighton,415000.0
20 College Avenue,1404.0,2.0,4.0,House,40.62189865,-74.12139893,Port Richmond,519000.0
151 Roma Avenue,2100.0,2.0,4.0,House,40.56234,-74.10339,New Dorp Beach,749000.0
100 Clinton Place,4256.0,3.0,9.0,Multi-family,40.63249969,-74.13890076,Port Richmond,525000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
29 Lake Avenue,1188.0,1.0,2.0,House,40.636224,-74.150454,Mariners Harbor,349000.0
3874 Hylan Boulevard,2960.0,2.0,5.0,Multi-family,40.54471,-74.14312,Great Kills,649999.0
31 Coddington Avenue,1288.0,1.5,3.0,House,40.57182,-74.11345,New Dorp,634900.0
155 Burgher Avenue,912.0,2.0,2.0,House,40.593096,-74.092367,Dongan Hills,499000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
1115 Targee Street,1259.0,1.5,3.0,House,40.600788,-74.091228,Emerson Hill,569000.0
146 Clinton Place,1620.0,2.5,4.0,House,40.633106,-74.140151,Port Richmond,459900.0
54 South Avenue,1234.0,1.0,3.0,House,40.638778,-74.166458,Arlington,425000.0
22 Milbank Rd,1440.0,2.0,3.0,House,40.561069,-74.102745,New Dorp Beach,624000.0
3871 Amboy Road,986.0,2.0,2.0,House,40.552,-74.14744,Great Kills,449000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
329 Parkinson Avenue,880.0,1.0,2.0,House,40.593616,-74.080582,South Beach,329900.0
40 Clifton Avenue,840.0,2.0,2.0,House,40.615379,-74.065186,Rosebank,525000.0
135 Beverly Avenue,968.0,1.5,3.0,House,40.61819839,-74.10369873,Sunnyside (Staten Island),525000.0
62 East Cheshire Place,1066.0,1.0,3.0,House,40.62039948,-74.10169983,Sunnyside (Staten Island),599900.0
27 Strawberry Lane,1460.0,2.0,3.0,House,40.529289,-74.158875,Eltingville,529900.0
74 Christopher Street,2400.0,2.0,5.0,Multi-family,40.636337,-74.164299,Mariners Harbor,449000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
105 Smith Place,1540.0,2.0,3.0,House,40.626152,-74.141403,Port Richmond,429900.0
39 Poplar Avenue,1200.0,3.0,3.0,House,40.55322,-74.21402,Rossville,649900.0
54 Collfield Avenue,1000.0,1.0,4.0,House,40.62076,-74.14298,Graniteville,450000.0
6453 Amboy Road,3665.0,1.5,4.0,Multi-family,40.52089,-74.21812,Pleasant Plains,850000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
24 James Place,1504.0,2.0,6.0,House,40.6096,-74.071289,Shore Acres,399900.0
117 Beverly Avenue,1400.0,3.0,3.0,House,40.61859894,-74.10350037,Sunnyside (Staten Island),729000.0
112 Elmbank Street,1768.0,2.0,4.0,House,40.52992,-74.16304,Annadale,799999.0
194 Robinson Avenue,1200.0,1.5,3.0,House,40.53871,-74.15311,Eltingville,489900.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
278 Livermore Avenue,1250.0,1.0,2.0,House,40.617249,-74.138992,Westerleigh,445000.0
301 Westervelt Avenue,2750.0,3.0,6.0,House,40.641035,-74.082412,Saint George,779000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
14 Prince Street,1260.0,1.5,3.0,House,40.617546,-74.082315,Clifton,285000.0
90 Ontario Avenue,1528.0,1.0,2.0,House,40.61330032,-74.10410309,Sunnyside (Staten Island),499999.0
118 Lorraine Loop,1570.0,1.5,3.0,Townhouse,40.545474,-74.220055,Rossville,409900.0
471 Ridgewood Avenue,1148.0,1.5,3.0,House,40.559483,-74.165468,Eltingville,349900.0
56 Van Pelt Avenue,2396.0,1.5,4.0,Multi-family,40.635215,-74.1553,Mariners Harbor,500000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
196 Slater Boulevard,1860.0,1.5,3.0,House,40.580352,-74.089624,Midland Beach,535000.0
285 Poultney Street,960.0,1.5,3.0,House,40.573619,-74.101331,Midland Beach,534500.0
87 Tysen Street,2250.0,1.5,6.0,House,40.643442,-74.099327,New Brighton,625000.0
231 Deems Avenue,1541.0,2.0,4.0,House,40.617485,-74.131968,Westerleigh,559900.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
204 Lamport Boulevard,1026.0,1.0,3.0,House,40.59339905,-74.07679749,South Beach,497000.0
25 Sheridan Ct,2120.0,3.0,3.0,House,40.5605011,-74.1339035,Bay Terrace,819000.0
11 Temple Ct,1348.0,1.5,2.0,Townhouse,40.59289932,-74.18560028,Travis,399000.0
338 Clifton Avenue,1640.0,2.0,4.0,Multi-family,40.61119843,-74.07389832,Rosebank,448000.0
429 Raritan Avenue,780.0,1.0,3.0,House,40.58840179,-74.08660126,Dongan Hills,499000.0
9 Temple Ct,1348.0,1.5,2.0,House,40.5929985,-74.18569946,Travis,399999.0
569 Bard Avenue,1416.0,1.5,3.0,House,40.62950134,-74.10549927,Silver Lake,571000.0
290 Lake Avenue,1829.0,2.5,4.0,Multi-family,40.62919998,-74.15190125,Mariners Harbor,638000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
145 Lincoln Avenue #4A,836.0,1.0,1.0,Condo,40.57910156,-74.10769653,Grant City,239000.0
330 Van Duzer Street,2012.0,2.0,5.0,House,40.63019943,-74.07900238,Tompkinsville,799000.0
120 Milden Avenue,7200.0,4.5,6.0,House,40.60789871,-74.09750366,Emerson Hill,2199000.0
1000 Arden Avenue,1400.0,2.5,3.0,House,40.5442009,-74.17639923,Annadale,535000.0
1225 Rockland Avenue,2322.0,2.5,5.0,Multi-family,40.59460068,-74.15820313,New Springville,799999.0
115 Overlook Ter,1980.0,1.0,3.0,House,40.60340118,-74.07820129,Grasmere,1290000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
22 Pearsall Street,2104.0,2.5,3.0,House,40.59059906,-74.07460022,Arrochar,649999.0
189 Aspen Knolls Way #189,1354.0,1.5,2.0,Townhouse,40.56290054,-74.18419647,Arden Heights,354888.0
57 Adams Avenue,1920.0,2.0,4.0,Multi-family,40.58390045,-74.10469818,Dongan Hills,695000.0
10 Village Lane #2B,1356.0,1.0,3.0,Condo,40.54330063,-74.16870117,Eltingville,425000.0
886 Delafield Avenue,2340.0,3.0,6.0,Multi-family,40.62770081,-74.12819672,West Brighton,699000.0
272 Richmond Terr #1-2,3521.0,2.5,5.0,House,40.64730072,-74.08249664,Saint George,999999.0
175 Auburn Avenue,2808.0,5.0,6.0,Multi-family,40.61249924,-74.14759827,Graniteville,1149999.0
80 Bay Street Landing #1K,2250.0,2.5,3.0,Condo,40.6393013,-74.07409668,Saint George,718000.0
12 Sandy Lane,1100.0,2.5,3.0,Townhouse,40.50360107,-74.23770142,Tottenville,440000.0
