"address","area","baths","beds","buildingtype","latitude","longitude","neighborhood","price","borough","pricearea","coastdist"
"56 Walker Street #2",2670,3.5,3,"Condo",40.71900177,-74.00319672,"Tribeca",5600000,"manhattan",2097.37827715,746.610278295024
"201 East 62nd Street #5A",2240,3.5,3,"Co-op",40.76350021,-73.96479797,"Lenox Hill",2595000,"manhattan",1158.48214286,501.933845528454
"333 West 56th Street #2",820,1,1,"Condo",40.76699829,-73.98490143,"Hell's Kitchen",995000,"manhattan",1213.41463415,598.449219238172
"330 East 38th Street #20P",884,1.5,1,"Condo",40.74629974,-73.97270203,"Murray Hill",1225000,"manhattan",1385.74660633,257.252039748721
"322 West 57th Street #55U",1599,2,2,"Condo",40.76679993,-73.98419952,"Hell's Kitchen",4595000,"manhattan",2873.6710444,647.078718189595
"408 Eighth Avenue #3C",712,1,1,"Condo",40.74980164,-73.99479675,"Midtown South",1099000,"manhattan",1543.53932584,691.426522363608
"151 East 85th Street #12H",1646,2.5,2,"Condo",40.77909851,-73.95539856,"Upper East Side",3095000,"manhattan",1880.31591738,594.596167204288
"30 Park Place #48B",1664,2.5,2,"Condo",40.712783,-74.009032,"Tribeca",4520000,"manhattan",2716.34615385,404.382459590501
"438 East 12th Street #5R",1604,3,3,"Condo",40.72900009,-73.98210144,"East Village",3450000,"manhattan",2150.87281796,701.180099539663
"80 Riverside Boulevard #9P",1850,3,3,"Condo",40.77550125,-73.9885025,"Lincoln Square",3695000,"manhattan",1997.2972973,42.8155554273714
"330 East 38th Street #7J",903,1,1,"Condo",40.74629974,-73.97270203,"Murray Hill",1270000,"manhattan",1406.42303433,257.252039748721
"205 West End Avenue #10M",900,1,1,"Co-op",40.7784996,-73.98660278,"Lincoln Square",939000,"manhattan",1043.33333333,29.8479725840542
"161 Maiden Ln #37A",1311,2,2,"Condo",40.70550156,-74.00479889,"Financial District",3025000,"manhattan",2307.39893211,196.275093975123
"515 East 79th Street #5B",1150,2.5,2,"Co-op",40.77099991,-73.94879913,"Yorkville",1250000,"manhattan",1086.95652174,116.951857195933
"345 East 80th Street #8F",929,1,2,"Condo",40.77349854,-73.95230103,"Yorkville",1179000,"manhattan",1269.1065662,187.310589878922
"345 East 80th Street #8E",622,1,1,"Condo",40.77349854,-73.95230103,"Yorkville",789000,"manhattan",1268.48874598,187.310589878922
"311 West Broadway #3I",1745,2.5,2,"Condo",40.7215004,-74.00370026,"Soho",3500000,"manhattan",2005.73065903,682.583289161748
"180 W 58th Street #9B",1100,1,1,"Co-op",40.76580048,-73.97930145,"Midtown",1675000,"manhattan",1522.72727273,970.689417989364
"188 East 70th Street #6E",730,2,1,"Condo",40.76839828,-73.96199799,"Lenox Hill",1195000,"manhattan",1636.98630137,539.813387423167
"283 East 4th Street #5A",444,1,1,"Co-op",40.72280121,-73.98079681,"East Village",450000,"manhattan",1013.51351351,499.802912286751
"591 Third Avenue #17A",1457,2,3,"Condo",40.74850082,-73.97589874,"Murray Hill",2900000,"manhattan",1990.39121482,531.843105859396
"591 Third Avenue #20A",1300,2,2,"Condo",40.74850082,-73.97589874,"Murray Hill",2725000,"manhattan",2096.15384615,531.843105859396
"591 Third Avenue #19B",1151,2,2,"Condo",40.74850082,-73.97589874,"Murray Hill",2305000,"manhattan",2002.60642919,531.843105859396
"591 Third Avenue #10A",1077,2,2,"Condo",40.74850082,-73.97589874,"Murray Hill",2100000,"manhattan",1949.86072423,531.843105859396
"336 E 54th Street #4A",798,1,1,"Condo",40.75659943,-73.9654007,"Sutton Place",1762500,"manhattan",2208.64661654,255.345959256227
"591 Third Avenue #3C",1111,2,2,"Condo",40.74850082,-73.97589874,"Murray Hill",1900000,"manhattan",1710.1710171,531.843105859396
"215 West 88th Street #9F",2132,3,3,"Condo",40.789489,-73.974971,"Upper West Side",4250000,"manhattan",1993.43339587,306.971729512496
"5 Beekman Street #47B",1572,2.5,2,"Condo",40.71120071,-74.00689697,"Fulton/Seaport",3975000,"manhattan",2528.6259542,573.472185881945
"591 Third Avenue #18C",881,1,1,"Condo",40.74850082,-73.97589874,"Murray Hill",1690000,"manhattan",1918.27468785,531.843105859396
