address,area,baths,beds,building type,latitude,longitude,neighborhood,price
2621 Palisade Avenue #14J,N/A,2.0,2.0,Co-op,40.88259888,-73.92150116,Spuyten Duyvil,750000.0
609 Kappock Street #5A,932.0,1.0,1.0,Co-op,40.87979889,-73.91629791,Spuyten Duyvil,250000.0
4001 Lowerre Place,1984.0,4.0,8.0,Multi-family,40.88899994,-73.86119843,Wakefield,850000.0
1935 Haviland Avenue,4244.0,,N/A,Multi-family,40.82949829,-73.85929871,Castle Hill,1100000.0
171 West 179th Street,2761.0,3.5,3.0,House,40.85580063,-73.91419983,University Heights,375000.0
24 Pennyfield Avenue #1B,N/A,1.0,2.0,Condo,40.80989838,-73.8022995,Locust Point,359000.0
3050 Fairfield Avenue #7G,1350.0,2.0,2.0,Co-op,40.88249969,-73.91429901,Spuyten Duyvil,410000.0
2500 Johnson Avenue #14C,N/A,2.0,2.0,Co-op,40.87680054,-73.91770172,Spuyten Duyvil,570000.0
3515 Henry Hudson Parkway #5E,N/A,1.0,1.0,Co-op,40.88650131,-73.91320038,Riverdale,225000.0
710 Sagamore Street,1714.0,2.0,3.0,House,40.84840012,-73.86650085,Van Nest,478000.0
5550 Fieldston Road #3I,N/A,1.0,1.0,Co-op,40.901381,-73.90193,Riverdale,139000.0
384 West 253rd Street,2424.0,3.5,N/A,Townhouse,40.90050125,-73.9036026,Fieldston,1795000.0
2750 Johnson Avenue #2K,850.0,1.0,1.0,Co-op,40.88010025,-73.91179657,Spuyten Duyvil,220000.0
3810 Greystone Avenue #607,750.0,1.0,1.0,Co-op,40.88779831,-73.90499878,Riverdale,190900.0
4440 Waldo Avenue,2808.0,3.0,5.0,House,40.89210129,-73.90149689,Fieldston,1895000.0
1618 Bayview Avenue,1724.0,1.0,2.0,House,40.84659958,-73.81710052,Country Club,225000.0
555 Kappock Street #24U,700.0,1.0,1.0,Co-op,40.87810135,-73.91690063,Spuyten Duyvil,190000.0
4373 Wilder Avenue,546.0,,N/A,House,40.89899826,-73.8443985,Bronx,279000.0
6295 Broadway #B9,N/A,1.0,1.0,Co-op,40.89889908,-73.89759827,Riverdale,145500.0
903 Dean Avenue,2583.0,4.0,5.0,Multi-family,40.83330154,-73.81739807,Throgs Neck,799000.0
290 Graff Avenue,1998.0,,N/A,Multi-family,40.81629944,-73.82389832,Throgs Neck,575000.0
800 Grand Concourse #4SN,N/A,2.0,2.0,Co-op,40.82479858,-73.92299652,Concourse,399000.0
1437 Reed Place,N/A,4.0,5.0,Multi-family,40.84209824,-73.81960297,Country Club,928000.0
716 Penfield Street,5929.0,7.0,10.0,Multi-family,40.90459824,-73.84899902,Bronx,1050000.0
608 Van Nest Avenue,2436.0,4.0,6.0,Multi-family,40.84249878,-73.86750031,Van Nest,699000.0
2104 Holland Avenue #3G,1050.0,1.0,2.0,Co-op,40.85359955,-73.86530304,Bronxdale,209000.0
2962 Decatur Avenue #2D,822.0,1.0,1.0,Co-op,40.86830139,-73.8832016,Bedford Park,169000.0
2905 Hering Avenue,1116.0,1.0,2.0,House,40.86800003,-73.85399628,Laconia,420000.0
3585 Greystone Avenue E4E/E3E,1087.0,2.5,2.0,Condo,40.88539886,-73.90650177,Riverdale,649000.0
601 Pelham Parkway #205,750.0,1.0,1.0,Co-op,40.85779953,-73.87069702,Bronxwood,189000.0
3201 Grand Concourse #6K,1363.0,2.0,2.0,Condo,40.87689972,-73.88629913,Bedford Park,325000.0
555 Kappock Street #9A,N/A,1.0,1.0,Co-op,40.87810135,-73.91690063,Spuyten Duyvil,200000.0
2130 East Tremont Avenue #3C,783.0,1.0,2.0,Condo,40.83990097,-73.85990143,Parkchester,179000.0
3656 Johnson Avenue #2E,1100.0,1.0,2.0,Co-op,40.88819885,-73.90899658,Spuyten Duyvil,355000.0
2866 Marion Avenue #6J,750.0,1.0,1.0,Co-op,40.86809921,-73.8852005,Bedford Park,145000.0
712 Garden Street,N/A,4.0,6.0,Multi-family,40.85039902,-73.88549805,East Tremont,650000.0
1020 Grand Concourse #24E,N/A,1.0,2.0,Co-op,40.8302002,-73.92009735,Concourse,550000.0
255 Fieldston Terrace #LJ,N/A,1.0,1.0,Co-op,40.895929,-73.898583,Fieldston,175000.0
520 Taylor Avenue,2750.0,2.0,5.0,Multi-family,40.81570053,-73.86139679,Soundview,625000.0
5235 Post Road #2C,750.0,1.0,1.0,Co-op,40.89830017,-73.89880371,Fieldston,145000.0
1315 Bradford Avenue,1852.0,N/A,3.0,House,40.83779907,-73.83170319,Schuylerville,499000.0
2727 Palisade Avenue #5A,750.0,1.0,1.0,Co-op,40.8830986,-73.92099762,Riverdale,275000.0
3585 Greystone Avenue E4E/E3E,1087.0,2.5,2.0,Condo,40.88539886,-73.90650177,Riverdale,649000.0
609 Kappock Street #5A,932.0,1.0,1.0,Co-op,40.87979889,-73.91629791,Spuyten Duyvil,250000.0
773 Saint Anns #44D,1067.0,N/A,3.0,Condo,40.82030106,-73.91100311,Woodstock,260000.0
5550 Fieldston Road #5G,N/A,2.0,2.0,Co-op,40.90309906,-73.90039825,Riverdale,359000.0
5900 Arlington Avenue #18M,N/A,1.0,1.0,Co-op,40.90919876,-73.90540314,Riverdale,260000.0
1618 Bayview Avenue,1724.0,1.0,2.0,House,40.84659958,-73.81710052,Country Club,225000.0
2191 Bolton Street #1F,778.0,1.0,1.0,Co-op,40.85609818,-73.8690033,Bronxdale,130000.0
5700 Arlington Avenue #1E,N/A,1.0,1.0,Co-op,40.9070015,-73.90579987,Riverdale,205000.0
5700 Arlington Avenue #9J,N/A,2.0,3.0,Co-op,40.9070015,-73.90579987,Riverdale,585000.0
1425 Thieriot Avenue #4A,1000.0,1.0,2.0,Co-op,40.83739853,-73.86569977,Parkchester,159000.0
1549 Selwyn Avenue,4100.0,N/A,10.0,Multi-family,40.84199905,-73.9108963,Concourse,800000.0
4388 Richardson Avenue,1766.0,2.0,5.0,Multi-family,40.89849854,-73.85549927,Wakefield,545000.0
2500 Johnson Avenue #14A,N/A,1.0,N/A,Co-op,40.87680054,-73.91770172,Spuyten Duyvil,175000.0
332 East 238th Street,1870.0,N/A,3.0,House,40.89970016,-73.86630249,Woodlawn,475000.0
601 Pelham Parkway #205,750.0,1.0,1.0,Co-op,40.85779953,-73.87069702,Bronxwood,189000.0
1618 Bayview Avenue,1724.0,1.0,2.0,House,40.84659958,-73.81710052,Country Club,225000.0
3656 Johnson Avenue #6CD,2000.0,2.0,4.0,Co-op,40.88819885,-73.90899658,Spuyten Duyvil,895000.0
5700 Arlington Avenue #5V,N/A,1.0,2.0,Co-op,40.9070015,-73.90579987,Riverdale,399000.0
3017 Riverdale Avenue #2A,N/A,1.0,1.0,Co-op,40.88079834,-73.91069794,Spuyten Duyvil,279000.0
253 Huntington Avenue,1998.0,,N/A,Multi-family,40.81570053,-73.82180023,Throgs Neck,629000.0
1134 Thieriot Avenue,1596.0,N/A,3.0,House,40.82889938,-73.8635025,Soundview,530000.0
5700 Arlington Avenue #19N,454.0,1.0,N/A,Co-op,40.9070015,-73.90579987,Riverdale,110000.0
1058 University Avenue,4368.0,3.0,7.0,Multi-family,40.834826,-73.930109,Highbridge,849000.0
1320 Stratford Avenue,3440.0,4.0,7.0,Multi-family,40.832451,-73.875923,Soundview,379021.0
1450 Parkchester Road 5F-UNIT-5F,N/A,1.0,2.0,Condo,40.83623,-73.85949,Parkchester,195000.0
2215 Homer Avenue,1638.0,2.0,3.0,House,40.822144,-73.84807,Castle Hill,399999.0
293 William Avenue,1900.0,N/A,3.0,House,40.84637,-73.78878,City Island,539021.0
61 Bay Street,N/A,2.0,2.0,Multi-family,40.84749985,-73.78919983,City Island,499021.0
5445 Palisade Avenue,4060.0,3.5,6.0,House,40.9056015,-73.91259766,Riverdale,2550000.0
4440 Waldo Avenue,2808.0,3.0,5.0,House,40.89210129,-73.90149689,Fieldston,1895000.0
861C Underhill Avenue,N/A,N/A,2.0,House,40.82321,-73.8607,Soundview,269000.0
1124 Taylor Avenue,1920.0,2.0,6.0,Multi-family,40.828712,-73.86438,Soundview,599000.0
3064 Heath Avenue,1236.0,1.0,2.0,House,40.877316,-73.901733,Kingsbridge Heights,430000.0
4153A Baychester Avenue,1080.0,1.0,3.0,House,40.894351,-73.844505,Edenwald,359000.0
1162 E. 223rd Street,1280.0,N/A,3.0,House,40.881824,-73.848175,Edenwald,350000.0
946 Hoe Avenue 5B-UNIT-5B,N/A,,4.0,House,40.822285,-73.89003,Longwood,115000.0
2945 Tenbroeck Avenue,1500.0,2.0,5.0,Multi-family,40.868996,-73.853043,Laconia,439900.0
1317 University Avenue,2432.0,2.0,7.0,Multi-family,40.841109,-73.926959,Highbridge,529000.0
1862 Loring Place South,4140.0,2.0,6.0,House,40.853309,-73.91484,Morris Heights,379000.0
1531 Gillespie Avenue,1458.0,2.0,4.0,Multi-family,40.843098,-73.831352,Schuylerville,489000.0
1842 Bruckner Boulevard,2310.0,3.0,5.0,Multi-family,40.825012,-73.863174,Soundview,459000.0
1046 E 232nd Street,N/A,2.0,5.0,Multi-family,40.889183,-73.847343,Wakefield,279000.0
5445 Palisade Avenue,4060.0,3.5,6.0,House,40.9056015,-73.91259766,Riverdale,2550000.0
4440 Waldo Avenue,2808.0,3.0,5.0,House,40.89210129,-73.90149689,Fieldston,1895000.0
441 E 154th Street,N/A,2.0,4.0,Multi-family,40.819244,-73.914597,Bronx,239000.0
960 East 230th Street,N/A,N/A,3.0,House,40.888573,-73.850632,Wakefield,399000.0
4445 Park Avenue,1497.0,2.0,4.0,House,40.853755,-73.896339,East Tremont,160000.0
182 Revere Avenue,1584.0,2.0,6.0,House,40.8156,-73.81628,Throgs Neck,492000.0
91 Van Cortlandt Avenue W #7C,N/A,1.0,1.0,Co-op,40.88349915,-73.89279938,Kingsbridge Heights,169000.0
536 Minnieford Avenue,2332.0,N/A,4.0,Multi-family,40.85329819,-73.78869629,City Island,659000.0
454 Effingham Avenue,1638.0,1.0,1.0,Multi-family,40.81669998,-73.8451004,Castle Hill,469000.0
3391 Capuchin Way,1160.0,2.0,2.0,House,40.87469864,-73.86389923,Williamsbridge,220000.0
1827 Hone Avenue,1920.0,2.0,5.0,Multi-family,40.84949875,-73.85559845,Morris Park,595900.0
1260 Crosby Avenue,N/A,,4.0,Multi-family,40.83743,-73.82798,Schuylerville,650000.0
3055 Eastchester Road,1848.0,2.0,3.0,Multi-family,40.870716,-73.843712,Baychester,535001.0
1848 Loring Place,4140.0,N/A,6.0,House,40.85305,-73.91507,Morris Heights,495000.0
2500 Johnson Avenue #9G,1650.0,2.5,3.0,Co-op,40.87680054,-73.91770172,Spuyten Duyvil,679000.0
3585 Greystone Avenue E4E/E3E,1087.0,2.5,2.0,Condo,40.88539886,-73.90650177,Riverdale,649000.0
2716 Tenbroeck Avenue,2140.0,N/A,5.0,Multi-family,40.86579895,-73.85269928,Laconia,599999.0
4114 Wickham Avenue,1632.0,4.0,5.0,Multi-family,40.89250183,-73.84809875,Wakefield,649000.0
1319 Harding Park,700.0,1.0,2.0,House,40.8091011,-73.85790253,Soundview,250000.0
2264 Gleason Avenue,2480.0,2.0,6.0,Multi-family,40.83200073,-73.84860229,Westchester Village,1400000.0
1544 Mcdonald Street,2016.0,2.0,4.0,Multi-family,40.85499954,-73.84269714,Pelham Parkway,735000.0
1044 East 233rd Street,1782.0,N/A,4.0,Multi-family,40.88980103,-73.84690094,Wakefield,555000.0
513 Revere Avenue,1600.0,2.0,5.0,Multi-family,40.82229996,-73.82080078,Throgs Neck,600000.0
1098 Woodycrest Avenue,3188.0,3.0,8.0,Multi-family,40.8348999,-73.92590332,Highbridge,549900.0
5 Belmont Street,2660.0,2.0,4.0,House,40.8443985,-73.91429901,Concourse,654900.0
2120 Mapes Avenue #3A,900.0,1.0,2.0,Co-op,40.84700012,-73.88490295,East Tremont,90000.0
2325 Hermany Avenue,1620.0,2.0,2.0,House,40.82540131,-73.84539795,Castle Hill,489000.0
2036 Strang Avenue,2800.0,N/A,3.0,House,40.89020157,-73.84120178,Edenwald,499000.0
439 W.263rd Street,N/A,N/A,6.0,Multi-family,40.91270065,-73.90139771,Riverdale,910000.0
4440 Waldo Avenue,2808.0,3.0,5.0,House,40.89210129,-73.90149689,Fieldston,1895000.0
2239 Gleason Avenue,1714.0,3.0,6.0,Multi-family,40.83229828,-73.84960175,Westchester Village,669000.0
1144 Wheeler Avenue,3440.0,4.0,7.0,Multi-family,40.82730103,-73.87950134,Soundview,749000.0
1630 Library Avenue,648.0,1.0,2.0,House,40.8470993,-73.81800079,Country Club,359000.0
4000 Bruner Avenue,1831.0,N/A,3.0,Multi-family,40.89009857,-73.84609985,Edenwald,435000.0
958 Edison Avenue,1505.0,N/A,5.0,Multi-family,40.83150101,-73.8246994,Throgs Neck,569000.0
28 Metropolitan Oval #1B,613.0,1.0,1.0,Condo,40.83860016,-73.85649872,Parkchester,155000.0
1611 Givan Avenue,1096.0,N/A,2.0,House,40.87540054,-73.84390259,Laconia,430000.0
2730 Laconia Avenue,2100.0,N/A,4.0,House,40.86650085,-73.85540009,Laconia,485000.0
750 Kappock Street #910,1400.0,2.0,2.0,Co-op,40.88180161,-73.92070007,Spuyten Duyvil,525000.0
1539 Kennellworth Place,2190.0,3.0,5.0,House,40.84560013,-73.82250214,Country Club,739000.0
936 East 224th Street,3510.0,2.0,6.0,Multi-family,40.88460159,-73.85379791,Wakefield,865000.0
2352 Waterbury Avenue,2496.0,2.0,5.0,Multi-family,40.83449936,-73.84649658,Westchester Village,525000.0
5445 Palisade Avenue,4060.0,3.5,6.0,House,40.9056015,-73.91259766,Riverdale,2550000.0
3585 Greystone Avenue E4E/E3E,1087.0,2.5,2.0,Condo,40.88539886,-73.90650177,Riverdale,649000.0
886 Freeman Street,1152.0,N/A,3.0,House,40.8302002,-73.89450073,Crotona Park East,485000.0
1922 McGraw Avenue #6D,700.0,1.0,1.0,Co-op,40.83449936,-73.86049652,Parkchester,139000.0
3087 Hatting Place,1426.0,N/A,2.0,House,40.8144989,-73.80719757,Locust Point,385000.0
861 East 215th Street,1440.0,2.0,3.0,Multi-family,40.87919998,-73.85919952,Williamsbridge,559000.0
6120 Riverdale Avenue,3900.0,6.0,7.0,Multi-family,40.91070175,-73.90270233,Riverdale,1100000.0
4233 Monticello Avenue,1260.0,N/A,3.0,House,40.89670181,-73.84069824,Bronx,470000.0
312 Swinton Avenue,1021.0,N/A,2.0,House,40.81819916,-73.82060242,Throgs Neck,388000.0
3039 Sedgwick Avenue,2040.0,N/A,5.0,House,40.87599945,-73.90059662,Kingsbridge Heights,580000.0
228 Hollywood Avenue,1600.0,3.0,5.0,Multi-family,40.81740189,-73.81410217,Throgs Neck,665000.0
328 East 239th Street,1656.0,2.0,4.0,House,40.90019989,-73.86640167,Woodlawn,549000.0
1358 Herschell Street,1783.0,N/A,6.0,House,40.83729935,-73.84480286,Westchester Village,485000.0
3646 Holland Avenue,3692.0,8.0,10.0,Multi-family,40.87990189,-73.86309814,Williamsbridge,799999.0
439 W.263rd Street,N/A,N/A,6.0,Multi-family,40.91270065,-73.90139771,Riverdale,910000.0
609 Kappock Street #5A,932.0,1.0,1.0,Co-op,40.87979889,-73.91629791,Spuyten Duyvil,250000.0
820 Saint Ouen Street,2753.0,N/A,6.0,Multi-family,40.90370178,-73.8470993,Bronx,650000.0
1136 Thieriot Avenue,2076.0,3.0,7.0,Multi-family,40.82899857,-73.86360168,Soundview,649000.0
2149 Quimby Avenue,2220.0,N/A,4.0,Multi-family,40.8260994,-73.85099792,Castle Hill,615000.0
3028 Kingsbridge Terrace,3740.0,2.0,9.0,Multi-family,40.87620163,-73.90139771,Kingsbridge Heights,950000.0
