address,area,baths,beds,building type,latitude,longitude,neighborhood,price
27-28 Thomson Avenue #350,1901.0,2.5,2.0,Condo,40.74570084,-73.94180298,Hunters Point,2399000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
85-15 Main Street #11G,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,199000.0
85-15 Main Street #PHP,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,185000.0
85-15 Main Street #4K,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,180000.0
85-15 Main Street #3K,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,180000.0
85-15 Main Street #7Q,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,178000.0
85-15 Main Street #PHH,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,175000.0
85-15 Main Street #9A,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,170000.0
85-15 Main Street #1A,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,165000.0
85-15 Main Street #3H,N/A,1.0,1.0,Co-op,40.70970154,-73.81880188,Briarwood,165000.0
31-15 101st Street,2280.0,3.0,6.0,Multi-family,40.76070023,-73.86779785,East Elmhurst,525000.0
85-15 Main Street #6S,N/A,1.0,N/A,Co-op,40.70970154,-73.81880188,Briarwood,95000.0
98-25 64 Road #C1,N/A,1.0,1.0,Co-op,40.73020172,-73.85739899,Rego Park,349000.0
27-21 44th Dr #2202,1263.0,2.0,3.0,Condo,40.7466011,-73.94159698,Hunters Point,1760000.0
27-28 Thomson Avenue #604,1338.0,2.0,N/A,Condo,40.74570084,-73.94180298,Hunters Point,1725000.0
220-55 46th Avenue #11S,630.0,1.0,N/A,Co-op,40.76079941,-73.75939941,Bayside,238000.0
26-27 28th Street,N/A,10.0,2.0,Multi-family,40.77000046,-73.9213028,Astoria,3100000.0
31-15 101st Street,2280.0,3.0,6.0,Multi-family,40.76070023,-73.86779785,East Elmhurst,525000.0
145-86 224th Street,3150.0,N/A,6.0,Multi-family,40.66090012,-73.75650024,Brookville,649000.0
91-10 32nd Avenue #E405,N/A,1.0,1.0,Co-op,40.75770187,-73.87680054,North Corona,250000.0
30-30 73rd Street,2761.0,3.0,5.0,Multi-family,40.75939941,-73.89489746,Jackson Heights,1349000.0
31-15 101st Street,2280.0,3.0,6.0,Multi-family,40.76070023,-73.86779785,East Elmhurst,880000.0
64-43 215th Street,1800.0,1.5,3.0,House,40.74449921,-73.76100159,Bayside,899000.0
21-16 35th Street #2C,N/A,1.0,2.0,Co-op,40.77600098,-73.90809631,Astoria,375000.0
105-25 67th Avenue #5C,400.0,1.0,N/A,Co-op,40.72900009,-73.84850311,Forest Hills,168000.0
48-09 58 Lane,4000.0,2.0,N/A,Townhouse,40.73820114,-73.90730286,Woodside,800000.0
216-18 115th Rd,N/A,N/A,3.0,House,40.69910049,-73.74140167,Cambria Heights,479000.0
86-10 34th Avenue #113,1250.0,2.0,2.0,Co-op,40.75389862,-73.88079834,Jackson Heights,774000.0
4-74 48th Avenue #PH2E,1005.0,2.0,2.0,Condop,40.74420166,-73.95680237,Hunters Point,890000.0
140-18 Burden Crescent #207,N/A,1.0,1.0,Co-op,40.71020126,-73.81690216,Briarwood,188000.0
149-48 24th Rd,N/A,3.0,5.0,House,40.77640152,-73.81580353,Flushing,1395000.0
112-20 72nd Drive #D34,N/A,1.0,2.0,Co-op,40.72000122,-73.83709717,Forest Hills,459000.0
53-37 65th Place,1368.0,1.5,N/A,Townhouse,40.73020172,-73.89990234,Elmhurst,889000.0
507 Beach 64th Street,N/A,N/A,5.0,Multi-family,40.59540176,-73.79380035,Arverne,575000.0
48-41 186th Street,1211.0,1.0,4.0,House,40.74729919,-73.79160309,Auburndale,788000.0
57-45 74th Street #G2,700.0,1.0,1.0,Condo,40.72740173,-73.88680267,Middle Village,368000.0
151-57 20th Avenue,N/A,1.0,3.0,House,40.78110123,-73.80989838,Flushing,1388000.0
90-06 199th Street,N/A,N/A,3.0,House,40.71609879,-73.76139832,Hollis,560000.0
137-23 171st Street,N/A,1.0,2.0,House,40.67210007,-73.76909637,Springfield Gardens,389000.0
89-06 70th Avenue,N/A,N/A,3.0,House,40.70930099,-73.85399628,Forest Hills,850000.0
77-58 76th Street,N/A,N/A,3.0,House,40.70510101,-73.87390137,Glendale,739000.0
21-10 44th Drive #4B,647.0,1.0,1.0,Condo,40.74779892,-73.9469986,Hunters Point,740000.0
10 Holder Place #3D,1525.0,2.0,3.0,Co-op,40.71829987,-73.84279633,Forest Hills,1490000.0
104-32 198th Street,1854.0,,3.0,House,40.70739,-73.7604,Hollis,500000.0
21-06 35th Street #3E,800.0,1.0,2.0,Other type,40.77600098,-73.90809631,Astoria,409000.0
88-28 74th Avenue,1600.0,1.0,3.0,House,40.70869827,-73.86209869,Glendale,849000.0
