address,area,baths,beds,building type,latitude,longitude,neighborhood,price
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
25 Adrianne Lane,1595.0,N/A,3.0,Townhouse,40.623981,-74.157802,Mariners Harbor,439999.0
15 Neptune Street,735.0,1.0,2.0,House,40.564998,-74.099525,New Dorp Beach,329900.0
86 Rolling Hill Green,18803.0,1.5,3.0,House,40.55110168,-74.19180298,Huguenot,437999.0
35 Eddy Street,N/A,2.5,4.0,House,40.62630081,-74.0904007,Grymes Hill,843000.0
25 Arielle Lane #108,N/A,1.5,2.0,Condo,40.57799911,-74.16049957,New Springville,429000.0
16 Bement Avenue,1040.0,N/A,3.0,House,40.64228,-74.11404,West Brighton,470000.0
136 Whitman Avenue,N/A,3.0,4.0,House,40.54389954,-74.14279938,Great Kills,799999.0
60 Crowell Avenue,5400.0,1.0,2.0,Multi-family,40.6156,-74.12535,Westerleigh,609000.0
16 Mathews Avenue,1740.0,N/A,3.0,House,40.625989,-74.105485,West Brighton,889000.0
62 Lincoln Street,1804.0,2.0,4.0,House,40.60359955,-74.11840057,Todt Hill,259900.0
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
66 Clawson Street,1281.0,2.0,3.0,House,40.57730103,-74.10559845,Grant City,850000.0
15 Degroot Place,N/A,2.0,3.0,House,40.63570023,-74.12390137,West Brighton,425000.0
99 Sumner Place,1360.0,1.5,3.0,Townhouse,40.638921,-74.092416,New Brighton,415000.0
20 College Avenue,1404.0,2.0,4.0,House,40.62189865,-74.12139893,Port Richmond,519000.0
151 Roma Avenue,2100.0,2.0,4.0,House,40.56234,-74.10339,New Dorp Beach,749000.0
431 Patterson Avenue,N/A,1.5,4.0,House,40.58060074,-74.08339691,Dongan Hills,599000.0
41 Seneca Street,N/A,2.0,4.0,House,40.63209915,-74.1155014,West Brighton,419000.0
100 Clinton Place,4256.0,3.0,9.0,Multi-family,40.63249969,-74.13890076,Port Richmond,525000.0
966 Patterson Avenue,1505.0,N/A,4.0,House,40.56904,-74.09282,Midland Beach,449988.0
73 Labau Avenue,1144.0,N/A,2.0,House,40.61339951,-74.10579681,Sunnyside (Staten Island),499000.0
1090 Arden Avenue,2352.0,N/A,4.0,House,40.5429,-74.173805,Annadale,699000.0
40 Northfield Court,1390.0,N/A,3.0,House,40.640274,-74.168769,Arlington,329000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
14 Isernia Avenue,1170.0,N/A,3.0,House,40.562144,-74.11117,New Dorp Beach,449900.0
52 Parish Avenue,1728.0,N/A,3.0,House,40.593271,-74.190787,Travis,419900.0
135 Pouch Terrace,2592.0,N/A,5.0,Multi-family,40.60322,-74.07595,Arrochar,825000.0
29 Lake Avenue,1188.0,1.0,2.0,House,40.636224,-74.150454,Mariners Harbor,349000.0
3874 Hylan Boulevard,2960.0,2.0,5.0,Multi-family,40.54471,-74.14312,Great Kills,649999.0
294 Weed Avenue,1873.0,N/A,4.0,House,40.560663,-74.109655,New Dorp Beach,675000.0
1111 Richmond Road,N/A,N/A,3.0,House,40.59964,-74.09217,Emerson Hill,599999.0
441 Barlow Avenue,1332.0,N/A,3.0,House,40.558041,-74.162766,Eltingville,495000.0
31 Coddington Avenue,1288.0,1.5,3.0,House,40.57182,-74.11345,New Dorp,634900.0
155 Burgher Avenue,912.0,2.0,2.0,House,40.593096,-74.092367,Dongan Hills,499000.0
369 Melba Street,1216.0,N/A,3.0,House,40.60327,-74.12402,Castleton Corners,479900.0
66 Fillmore Avenue,1260.0,N/A,3.0,House,40.602567,-74.134467,Meiers Corners,525000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
99 Cordelia Avenue,4800.0,N/A,5.0,House,40.518871,-74.211545,Pleasant Plains,1399000.0
1115 Targee Street,1259.0,1.5,3.0,House,40.600788,-74.091228,Emerson Hill,569000.0
105 Dogwood Dr,2548.0,N/A,3.0,House,40.549911,-74.198921,Huguenot,549900.0
83 Hewitt Avenue,1472.0,N/A,3.0,House,40.60789871,-74.09960175,Emerson Hill,550000.0
146 Clinton Place,1620.0,2.5,4.0,House,40.633106,-74.140151,Port Richmond,459900.0
54 South Avenue,1234.0,1.0,3.0,House,40.638778,-74.166458,Arlington,425000.0
7 Wavecrest Street,1400.0,N/A,3.0,House,40.563326,-74.09905,New Dorp Beach,624000.0
22 Milbank Rd,1440.0,2.0,3.0,House,40.561069,-74.102745,New Dorp Beach,624000.0
3871 Amboy Road,986.0,2.0,2.0,House,40.552,-74.14744,Great Kills,449000.0
90 East Loop Road,3687.0,N/A,6.0,House,40.589961,-74.104098,Dongan Hills,1800000.0
30 Croft Court #a,2064.0,N/A,2.0,House,40.562098,-74.140296,Richmondtown,339000.0
344 Katan Avenue,1662.0,N/A,3.0,House,40.551614,-74.157619,Great Kills,749000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
4056 Richmond Avenue,966.0,N/A,3.0,House,40.539528,-74.161064,Eltingville,539900.0
14 Seacrest Avenue,3028.0,N/A,4.0,House,40.534557,-74.152779,Eltingville,699000.0
6 Mc Divitt Avenue #a,1296.0,N/A,3.0,House,42.937084,-75.610703,New Springville,399900.0
104 Meade Loop,3760.0,N/A,5.0,House,40.522243,-74.229149,Richmond Valley,949900.0
329 Parkinson Avenue,880.0,1.0,2.0,House,40.593616,-74.080582,South Beach,329900.0
88 Portage Avenue,1764.0,N/A,2.0,House,40.600346,-74.12381,Castleton Corners,449900.0
40 Clifton Avenue,840.0,2.0,2.0,House,40.615379,-74.065186,Rosebank,525000.0
33 Lamport Boulevard,1200.0,N/A,3.0,House,40.597675,-74.078789,South Beach,499000.0
135 Beverly Avenue,968.0,1.5,3.0,House,40.61819839,-74.10369873,Sunnyside (Staten Island),525000.0
62 East Cheshire Place,1066.0,1.0,3.0,House,40.62039948,-74.10169983,Sunnyside (Staten Island),599900.0
27 Strawberry Lane,1460.0,2.0,3.0,House,40.529289,-74.158875,Eltingville,529900.0
74 Christopher Street,2400.0,2.0,5.0,Multi-family,40.636337,-74.164299,Mariners Harbor,449000.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
36 Amador Street,1910.0,N/A,3.0,House,40.623173,-74.163712,Mariners Harbor,399900.0
105 Smith Place,1540.0,2.0,3.0,House,40.626152,-74.141403,Port Richmond,429900.0
841 Van Duzer Street,N/A,1.0,3.0,House,40.619987,-74.079651,Clifton,299000.0
11 Roe Street,1350.0,N/A,3.0,House,40.633839,-74.121704,West Brighton,299900.0
39 Poplar Avenue,1200.0,3.0,3.0,House,40.55322,-74.21402,Rossville,649900.0
66 Harvard Avenue,4800.0,N/A,5.0,House,40.64182,-74.09022,New Brighton,1295000.0
187 Benton Avenue,1108.0,N/A,3.0,House,40.59125,-74.08384,Dongan Hills,539000.0
54 Collfield Avenue,1000.0,1.0,4.0,House,40.62076,-74.14298,Graniteville,450000.0
149 Providence Street,2236.0,N/A,3.0,House,40.59693,-74.08868,Dongan Hills,735000.0
73 Harbor Rd,2585.0,N/A,3.0,Multi-family,40.63510132,-74.15989685,Mariners Harbor,515000.0
6453 Amboy Road,3665.0,1.5,4.0,Multi-family,40.52089,-74.21812,Pleasant Plains,850000.0
257 Sand Lane,1200.0,N/A,3.0,House,40.593457,-74.068346,South Beach,499999.0
484 Sharrots Road,26000.0,12.0,1.0,Building,40.53749847,-74.23500061,Charleston,1900000.0
80 Bay Street Landing #1F,1864.0,2.5,2.0,Condo,40.6393013,-74.07409668,Saint George,789000.0
112 Narrows Road South,1148.0,N/A,3.0,House,40.604923,-74.07395,Arrochar,559000.0
356 Ramona Avenue,3186.0,N/A,4.0,House,40.538441,-74.197044,Woodrow,1325000.0
329 Jefferson Boulevard,2400.0,N/A,4.0,House,40.5463,-74.184774,Annadale,859000.0
24 James Place,1504.0,2.0,6.0,House,40.6096,-74.071289,Shore Acres,399900.0
157 Augusta Avenue,2156.0,N/A,3.0,Multi-family,40.55147,-74.17365,Eltingville,699900.0
335 Glen Avenue,1000.0,N/A,3.0,House,40.581023,-74.163495,Tompkinsville,329000.0
70 W. Cedarview Avenue,1768.0,N/A,4.0,House,40.566911,-74.136917,Richmondtown,779000.0
117 Beverly Avenue,1400.0,3.0,3.0,House,40.61859894,-74.10350037,Sunnyside (Staten Island),729000.0
